-30	337.5	289.5
-21	333	291
-27	336	291
-18	328.5	291
-25.5	339	291
-24	333	294
-19.5	330	289.5
-24	331.5	286.5
-16.5	334.5	292.5
-15	336	298.5
-13.5	328.5	289.5
-13.5	334.5	288
-18	328.5	292.5
-10.5	327	291
-7.5	333	289.5
-3	339	289.5
-4.5	336	
-3	339	
30	331.5	
42	328.5	289.5
36	333	289.5
27	336	294
13.5	333	289.5
10.5	340.5	295.5
0	333	291
4.5	333	298.5
-3	330	289.5
7.5	333	288
22.5	334.5	294
45	336	286.5
63	328.5	292.5
85.5	327	297
97.5	316.5	288
103.5	316.5	286.5
103.5	319.5	295.5
112.5	315	283.5
112.5	313.5	291
115.5	312	288
117	318	292.5
109.5	310.5	292.5
112.5	318	291
108	316.5	289.5
126	304.5	294
157.5	292.5	291
183	279	294
193.5	268.5	286.5
228	238.5	291
252	198	295.5
262.5	175.5	306
270	151.5	297
280.5	124.5	298.5
286.5	91.5	306
280.5	91.5	301.5
294	93	301.5
285	94.5	303
291	99	306
288	84	301.5
283.5	54	304.5
288	34.5	301.5
280.5	12	307.5
280.5	-10.5	310.5
276	-39	307.5
264	-48	310.5
258	-63	307.5
249	-78	321
249	-87	321
235.5	-102	316.5
225	-112.5	325.5
226.5	-114	315
223.5	-120	313.5
210	-118.5	313.5
196.5	-144	310.5
189	-144	328.5
193.5	-141	319.5
189	-157.5	321
195	-153	319.5
192	-151.5	322.5
181.5	-154.5	325.5
142.5	-175.5	324
121.5	-187.5	319.5
96	-199.5	330
72	-210	330
49.5	-210	330
36	-220.5	331.5
16.5	-214.5	324
-4.5	-219	330
-27	-216	336
-43.5	-213	333
-48	-217.5	339
-76.5	-211.5	336
-91.5	-205.5	339
-108	-199.5	333
-111	-199.5	334.5
-109.5	-201	343.5
-114	-196.5	337.5
-102	-201	343.5
-111	-205.5	339
-108	-198	333
-142.5	-187.5	
-151.5	-178.5	328.5
-162	-166.5	331.5
-177	-160.5	342
-178.5	-162	331.5
-178.5	-156	334.5
-186	-157.5	333
-186	-157.5	333
-187.5	-159	331.5
-184.5	-159	336
-205.5	-144	334.5
-228	-114	336
-243	-96	333
-259.5	-75	333
-265.5	-51	327
-267	-45	330
-273	-25.5	328.5
-282	-6	322.5
-282	-10.5	324
-279	-15	322.5
-288	-15	327
-286.5	-6	324
-279	-3	327
-286.5	-3	324
-286.5	3	324
-285	-1.5	328.5
-283.5	3	321
-286.5	0	321
-286.5	3	327
-282	84	316.5
-285	102	313.5
-289.5	103.5	316.5
-292.5	93	
-291	102	313.5
-291	109.5	318
-289.5	117	316.5
-289.5	117	310.5
-288	117	313.5
-273	141	318
-267	180	306
-256.5	199.5	309
-243	211.5	310.5
-225	235.5	309
-213	249	304.5
-201	259.5	298.5
-192	271.5	301.5
-184.5	277.5	301.5
-169.5	285	300
-154.5	294	301.5
-139.5	292.5	300
-123	301.5	300
-118.5	312	298.5
-111	315	
-106.5	321	294
-96	322.5	292.5
-85.5	324	291
-78	324	292.5
-70.5	325.5	291
-60	331.5	300
-52.5	334.5	295.5
-37.5	333	286.5
-30	337.5	289.5
-31.5	333	298.5
-30	333	286.5
-33	331.5	286.5
-33	337.5	292.5
-34.5	331.5	294
-15	331.5	294
-3		289.5
-1.5	331.5	294
-3	336	294
0	327	
9	333	297
9	334.5	291
19.5	330	289.5
33	328.5	295.5
48	331.5	
69	322.5	289.5
79.5	327	286.5
94.5	322.5	286.5
105	313.5	291
126	309	289.5
130.5	300	288
153	292.5	289.5
168	291	283.5
177	279	297
189	267	298.5
202.5	253.5	291
216	237	291
231	232.5	292.5
241.5	210	291
250.5	199.5	
252	204	295.5
